model,repeat_index,iteration,carried_forward,motor_distance_steps
gpt_5_6_sol,3,31,True,943.3186100146652
gpt_5_6_sol,3,32,True,943.3186100146652
gpt_5_6_sol,3,33,True,943.3186100146652
gpt_5_6_sol,3,34,True,943.3186100146652
gpt_5_6_sol,3,35,True,943.3186100146652
gpt_5_6_sol,3,36,True,943.3186100146652
gpt_5_6_sol,3,37,True,943.3186100146652
gpt_5_6_sol,3,38,True,943.3186100146652
gpt_5_6_sol,3,39,True,943.3186100146652
gpt_5_6_sol,3,40,True,943.3186100146652
gpt_5_6_sol,3,41,True,943.3186100146652
gpt_5_6_sol,3,42,True,943.3186100146652
gpt_5_6_sol,3,43,True,943.3186100146652
gpt_5_6_sol,3,44,True,943.3186100146652
gpt_5_6_sol,3,45,True,943.3186100146652
gpt_5_6_sol,3,46,True,943.3186100146652
gpt_5_6_sol,3,47,True,943.3186100146652
gpt_5_6_sol,3,48,True,943.3186100146652
gpt_5_6_sol,3,49,True,943.3186100146652
gpt_5_6_sol,3,50,True,943.3186100146652
gpt_5_6_sol,3,51,True,943.3186100146652
gpt_5_6_sol,4,0,False,3626.1683634381898
gpt_5_6_sol,4,1,False,2685.3485807246702
gpt_5_6_sol,4,2,False,1859.8647800310646
gpt_5_6_sol,4,3,False,2563.4151048942504
gpt_5_6_sol,4,4,False,2104.5419929286277
gpt_5_6_sol,4,5,False,1420.4425366765106
gpt_5_6_sol,4,6,False,1582.2948524216338
gpt_5_6_sol,4,7,False,1067.0787224942685
gpt_5_6_sol,4,8,False,939.4982703549805
gpt_5_6_sol,4,9,False,127.81627439414747
gpt_5_6_sol,4,10,False,127.81627439414747
gpt_5_6_sol,4,11,True,127.81627439414747
gpt_5_6_sol,4,12,True,127.81627439414747
gpt_5_6_sol,4,13,True,127.81627439414747
gpt_5_6_sol,4,14,True,127.81627439414747
gpt_5_6_sol,4,15,True,127.81627439414747
gpt_5_6_sol,4,16,True,127.81627439414747
gpt_5_6_sol,4,17,True,127.81627439414747
gpt_5_6_sol,4,18,True,127.81627439414747
